14.1232		 24	 30
0.669768		 397	 521
5.56802		 261	 318
11.813		 88	 130
6.21257		 243	 319
13.8016		 33	 40
13.1539		 51	 75
5.20827		 271	 442
3.32023		 323	 460
12.8405		 59	 87
8.04015		 193	 342
1.5015		 374	 488
8.21641		 188	 236
1.00518		 388	 559
12.9241		 57	 77
3.79781		 310	 521
5.95645		 250	 344
14.8992		 2	 3
4.94874		 278	 463
3.49599		 319	 525
14.6285		 10	 12
11.5242		 96	 164
9.07726		 164	 208
8.61851		 176	 298
7.36906		 211	 307
4.65855		 286	 347
5.84905		 253	 365
3.09266		 330	 581
7.66791		 203	 276
5.08556		 274	 390
8.02637		 193	 300
2.63934		 342	 601
13.351		 45	 58
10.5073		 124	 165
14.2507		 20	 35
14.461		 14	 24
1.3009		 379	 621
11.6615		 92	 148
12.7176		 63	 88
7.77565		 200	 280
11.739		 90	 152
5.49587		 263	 342
3.59426		 316	 487
1.65355		 370	 610
12.6864		 64	 94
1.85422		 364	 519
0.622475		 398	 549
4.69558		 285	 501
7.0321		 220	 265
2.27311		 352	 510
14.2062		 22	 27
5.16197		 272	 331
12.7193		 63	 80
10.8852		 114	 184
7.10353		 218	 293
0.523532		 401	 542
1.09508		 385	 554
6.43066		 237	 328
14.6079		 10	 15
0.951515		 389	 658
14.8233		 4	 5
3.00707		 332	 404
7.29931		 213	 321
14.4192		 16	 28
7.90552		 196	 248
5.61421		 260	 385
3.42644		 320	 521
7.61874		 204	 254
12.5997		 66	 88
11.5826		 94	 130
7.16483		 217	 365
8.54578		 178	 272
3.12552		 329	 591
12.9493		 56	 73
8.06066		 192	 337
0.0277647		 415	 628
1.7065		 368	 486
8.32977		 184	 287
10.7375		 118	 178
8.33722		 184	 247
9.44132		 154	 270
10.7547		 117	 200
9.72762		 146	 194
14.0135		 27	 40
6.87738		 225	 365
12.0305		 82	 144
7.70217		 202	 287
7.30212		 213	 347
5.55272		 262	 369
13.5611		 39	 68
4.15214		 300	 523
6.49736		 235	 337
1.62373		 370	 663
14.8645		 3	 5
7.57612		 205	 313
1.00421		 388	 496
7.15311		 217	 362
14.8852		 3	 3
0.132301		 412	 723
9.20802		 160	 236
9.49473		 152	 220
6.05189		 248	 319
11.8148		 88	 152
13.0246		 54	 69
3.60539		 316	 525
0.980901		 388	 585
10.1746		 133	 199
13.6162		 38	 63
7.30538		 213	 370
9.15958		 161	 289
6.6823		 230	 369
1.89894		 363	 636
6.92267		 224	 284
0.716133		 396	 586
0.682812		 397	 633
14.0646		 25	 40
1.16266		 383	 537
12.3744		 72	 123
3.47056		 319	 515
0.34498		 406	 602
6.98477		 222	 278
14.8335		 4	 5
8.80414		 171	 297
13.9578		 28	 34
11.9303		 85	 129
0.99102		 388	 521
3.28112		 325	 427
2.44799		 348	 559
4.67409		 286	 379
2.25876		 353	 499
13.0883		 53	 66
0.534451		 401	 709
6.43995		 237	 406
12.2284		 76	 121
8.30794		 185	 315
1.98646		 360	 436
13.8993		 30	 38
2.45211		 347	 523
0.269587		 408	 512
8.81292		 171	 288
9.52722		 151	 240
0.812447		 393	 672
12.6939		 63	 83
8.01213		 193	 249
6.42456		 237	 381
7.72489		 201	 277
11.5943		 94	 143
3.76377		 311	 410
6.16824		 244	 302
12.9448		 56	 99
13.5655		 39	 70
14.7689		 6	 10
1.75115		 367	 473
5.1682		 272	 348
3.63088		 315	 554
14.2206		 21	 36
8.78505		 172	 206
10.9664		 111	 161
3.29349		 324	 440
8.84692		 170	 270
14.2495		 20	 25
14.2309		 21	 34
9.83116		 143	 188
13.878		 31	 38
3.98683		 305	 510
0.47558		 402	 523
11.754		 90	 108
0.0171729		 415	 722
2.46547		 347	 488
0.525881		 401	 578
4.16648		 300	 536
4.25445		 298	 511
14.7795		 6	 7
4.43047		 293	 387
4.19945		 299	 517
12.7911		 61	 81
14.8492		 4	 6
14.2927		 19	 30
0.0166333		 415	 716
10.6798		 119	 161
9.99345		 138	 227
6.55583		 234	 343
11.3998		 99	 144
5.25258		 270	 473
11.7584		 89	 127
4.96164		 278	 343
5.52495		 262	 410
13.8764		 31	 43
9.43697		 154	 205
8.37752		 183	 319
1.58424		 372	 538
2.08533		 358	 450
3.19059		 327	 410
11.1138		 107	 142
14.5487		 12	 17
7.21068		 216	 341
2.94892		 334	 584
1.28958		 380	 674
5.33951		 267	 390
13.214		 49	 62
12.3206		 74	 98
3.02274		 332	 436
12.3917		 72	 91
8.15006		 189	 278
5.20597		 271	 341
5.46514		 264	 388
7.6962		 202	 303
8.22367		 187	 305
8.92848		 168	 230
14.094		 25	 38
11.1311		 107	 155
3.01932		 332	 585
5.07119		 275	 377
13.4287		 43	 69
10.8511		 115	 191
12.5086		 69	 105
14.8184		 5	 6
11.0173		 110	 185
2.43046		 348	 475
4.03886		 303	 456
5.69491		 258	 407
14.4266		 15	 26
2.05448		 359	 540
9.27789		 158	 259
11.9878		 83	 127
4.46013		 292	 445
14.6766		 8	 11
7.19883		 216	 300
11.7884		 89	 126
0.158476		 411	 618
2.27026		 353	 602
0.811103		 393	 504
13.1984		 49	 81
14.2988		 19	 23
0.995685		 388	 517
8.2653		 186	 272
12.8416		 59	 88
5.0817		 275	 493
0.342263		 406	 720
10.8791		 114	 193
7.73148		 201	 243
5.44891		 264	 395
7.81866		 199	 339
12.1558		 78	 107
3.27528		 325	 550
12.2464		 76	 108
9.98138		 139	 239
7.63419		 204	 311
9.88589		 141	 208
8.80865		 171	 279
10.2706		 131	 168
2.57217		 344	 524
9.7659		 145	 218
8.00839		 193	 309
7.01347		 221	 299
7.43822		 209	 374
4.22668		 298	 511
7.15301		 217	 364
10.5349		 123	 168
1.65236		 370	 648
1.62315		 370	 649
4.35569		 295	 490
11.9563		 84	 141
4.78431		 283	 417
3.92286		 307	 535
2.72379		 340	 601
0.666918		 397	 560
7.30576		 213	 344
12.9498		 56	 67
5.54099		 262	 366
4.20161		 299	 514
4.70826		 285	 438
10.8663		 114	 190
5.47363		 264	 384
1.17011		 383	 568
5.21136		 271	 355
6.02478		 248	 392
14.3978		 16	 21
6.55693		 234	 319
9.8233		 143	 231
2.77506		 339	 576
9.67328		 147	 196
2.84305		 337	 431
13.8748		 31	 38
2.29318		 352	 484
5.7562		 256	 373
2.39499		 349	 564
14.9231		 2	 3
7.32572		 212	 300
4.66255		 286	 440
12.5227		 68	 108
11.2891		 102	 136
4.44097		 292	 475
6.52858		 234	 383
14.869		 3	 3
6.47769		 236	 308
13.899		 30	 37
6.08599		 247	 313
3.13001		 329	 460
2.53492		 345	 488
9.37657		 155	 237
11.918		 85	 142
3.75557		 311	 520
10.0329		 137	 225
